name,category,run_url,runtime_sec,last_interval_step_time_sec,last_interval_samples_per_sec,last_interval_mfu,result,notes
compile_skip_experts,success,https://wandb.ai/maxence-frenette/chess-engine-4/runs/mzlpejeq,33.086107053,0.10209732239999952,40118.58395220774,0.007242262145329565,kept,best steady-state step time despite compile warmup overhead in the 200-step runtime
final_kept,success,https://wandb.ai/maxence-frenette/chess-engine-4/runs/chqealpd,22.874865667,0.10468898880000026,39125.41373214591,0.0070629736864649415,kept,final clean run with retained code changes
compile_grouped_mm_max_autotune_bf16,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/u51ipwe2,99.818773659,0.1254571810999991,32648.58945567389,0.00589376842898816,reverted,full grouped_mm compile ran after explicit bf16 operands but was slower
compile_grouped_mm_default_bf16,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/byqd74dy,37.568860063,0.17395925599999984,23545.74337797814,0.004250510091610334,reverted,default compile with explicit bf16 operands was slower
compile_skip_experts_explicit_bf16,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/3g8ite5g,56.088241487,0.17787101170000028,23027.923217237727,0.004157032481516063,reverted,explicit bf16 operand cast made the graph-break compile path slower
full_bf16_params_only_compile_grouped_mm,failed,,0,0,0,0,reverted,bf16 parameters alone still failed because compiled grouped_mm saw fp32 activations under autocast
full_bf16_inputs_no_autocast_compile_grouped_mm,failed,,0,0,0,0,reverted,compiled forward reached backward but failed on float32 target/loss dtype mismatch
full_bf16_all_tensors_compile_grouped_mm,success,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jktr35bf,65.738091581,0.12078872080000023,33910.45101621766,0.006121561419475049,reverted,full bf16 training with grouped_mm inside compile works but is slower than graph-break compile
threaded_cuda_prefetch,success,https://wandb.ai/maxence-frenette/chess-engine-4/runs/cehts0x3,31.008807695,0.08903293099999984,46005.44937692781,0.008304967216647354,reverted,pinned background cuda prefetch was fast once but not stable across repeats
threaded_cuda_prefetch_repeat,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/3r65r47b,59.324578961,0.267015738100001,15339.919770818877,0.0027691834886530314,reverted,pinned background cuda prefetch repeat was much slower
cpu2_threaded_cuda_prefetch,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/30z68ooz,48.176871126,0.14265028100000024,28713.57820879437,0.005183414767735533,reverted,cpu=2 did not fix pinned background cuda prefetch
threaded_prefetch_no_pin,success,https://wandb.ai/maxence-frenette/chess-engine-4/runs/dy03ikux,29.853346371,0.08252780949999945,49631.75473595997,0.008959592864960626,reverted,background cuda transfer without pinning was fast once but unstable
threaded_prefetch_no_pin_repeat,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/fbn3fd9z,49.267298502,0.16335140449999982,25074.776752225625,0.004526533306648279,reverted,background cuda transfer without pinning repeat was slower
cpu2_threaded_prefetch_no_pin,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/gencqe35,45.721273541,0.1562765436999996,26209.94746251232,0.004731455889992445,reverted,cpu=2 with no-pin background transfer was slower
threaded_cpu_prefetch,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/q063de8a,31.51088274,0.09399531099999976,43576.64181780313,0.007866515523918281,reverted,custom background thread was fast but not kept because it bypassed PyTorch DataLoader prefetch APIs
threaded_cpu_prefetch_repeat,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/42epixxs,28.427554316,0.07671141579999982,53394.92117677757,0.009638924864648716,reverted,custom background thread was fast but not kept because it bypassed PyTorch DataLoader prefetch APIs
pytorch_prefetch_workers1,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/eb2u106w,77.515019831,0.3104338872999989,13194.43581248488,0.00238187776337209,reverted,PyTorch DataLoader prefetch with one worker was slower
pytorch_prefetch_workers2,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/33i4lspy,103.283387446,0.3641739884000003,11247.371120589338,0.0020303909579200033,reverted,PyTorch DataLoader prefetch with two workers was slower
pytorch_pin_workers0,success,https://wandb.ai/maxence-frenette/chess-engine-4/runs/z55cuaj1,35.396050434,0.1151854612000001,35560.04340589467,0.006419348114369699,kept,PyTorch pin_memory with zero workers was slower
pytorch_pin_workers1,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/u5aceskh,129.531569238,0.5349378559000002,7656.964177845913,0.0013822457412609236,reverted,PyTorch pin_memory with one worker was much slower
cleaned_retained_current,failed,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ro1px36q,36.402632725,0.11716468190000028,34959.34042219245,0.006310908382682367,reverted,no-pin current-code benchmark after restoring diagnostics; no longer kept because pinning difference was not significant
